frame,t_sec,has_obs,n_joints,bodyHeight,head_p,head_x,head_y,head_z,cSho_p,cSho_x,cSho_y,cSho_z,lSho_p,lSho_x,lSho_y,lSho_z,rSho_p,rSho_x,rSho_y,rSho_z,lElb_p,lElb_x,lElb_y,lElb_z,rElb_p,rElb_x,rElb_y,rElb_z,lWri_p,lWri_x,lWri_y,lWri_z,rWri_p,rWri_x,rWri_y,rWri_z,lHip_p,lHip_x,lHip_y,lHip_z,rHip_p,rHip_x,rHip_y,rHip_z,root_p,root_x,root_y,root_z
132,5.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,5.631,1,11,1.8000,1,-0.0344,0.5806,0.2543,1,-0.0377,0.5029,0.1612,1,0.1350,0.5094,0.1721,1,-0.2102,0.4927,0.1724,1,0.4461,0.5077,0.1137,1,-0.4412,0.2835,0.2273,1,0.5613,0.2888,0.1222,1,-0.3424,0.0778,0.3232,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
138,5.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,5.881,1,11,1.8000,1,-0.0286,0.5747,0.2601,1,-0.0320,0.5018,0.1632,1,0.1403,0.5116,0.1779,1,-0.2049,0.4970,0.1727,1,0.4534,0.5441,0.1459,1,-0.4532,0.3051,0.2140,1,0.5895,0.3422,0.1904,1,-0.3859,0.1086,0.3487,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
144,6.006,1,11,1.8000,1,-0.0964,0.5676,0.2594,1,-0.0908,0.4955,0.1620,1,0.0800,0.5084,0.1871,1,-0.2637,0.4916,0.1726,1,0.3924,0.5335,0.2315,1,-0.5103,0.3027,0.2333,1,0.5319,0.3939,0.3808,1,-0.4414,0.1493,0.4148,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
147,6.131,1,11,1.8000,1,-0.0451,0.5716,0.2617,1,-0.0474,0.5002,0.1636,1,0.1244,0.5098,0.1835,1,-0.2203,0.4947,0.1725,1,0.4390,0.5281,0.2131,1,-0.4702,0.3062,0.2192,1,0.5620,0.3648,0.3526,1,-0.3912,0.1387,0.3833,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
150,6.256,1,11,1.8000,1,-0.0639,0.5697,0.2620,1,-0.0634,0.4982,0.1640,1,0.1081,0.5060,0.1868,1,-0.2362,0.4900,0.1729,1,0.4182,0.4848,0.2463,1,-0.4742,0.2883,0.2267,1,0.5150,0.3543,0.4330,1,-0.3916,0.1447,0.4105,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
153,6.381,1,11,1.8000,1,-0.0604,0.5805,0.2511,1,-0.0617,0.5022,0.1586,1,0.1091,0.5140,0.1844,1,-0.2342,0.4964,0.1739,1,0.4171,0.5144,0.2572,1,-0.4629,0.2997,0.2697,1,0.5063,0.4394,0.4755,1,-0.3760,0.2108,0.4837,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
156,6.507,1,11,1.8000,1,-0.0441,0.6025,0.2235,1,-0.0377,0.5182,0.1365,1,0.1326,0.5164,0.1679,1,-0.2107,0.5162,0.1276,1,0.4019,0.4557,0.3226,1,-0.4981,0.4030,0.1965,1,0.3675,0.4571,0.5677,1,-0.4345,0.4058,0.4357,1,0.1565,-0.0000,0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
159,6.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
