frame,t_sec,total_joints,nose_conf,nose_x,nose_y,lSho_conf,lSho_x,lSho_y,rSho_conf,rSho_x,rSho_y,lElb_conf,lElb_x,lElb_y,rElb_conf,rElb_x,rElb_y,lWri_conf,lWri_x,lWri_y,rWri_conf,rWri_x,rWri_y,lHip_conf,lHip_x,lHip_y,rHip_conf,rHip_x,rHip_y
61,2.544,8,0.752,0.5362,0.1635,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.668,0.7101,0.2924,0.546,0.3251,0.1737,0.639,0.7259,0.5966,0.678,0.3204,0.4185,0.000,0.0000,1.0000,0.000,0.0000,1.0000
62,2.586,8,0.791,0.5364,0.1629,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.666,0.7074,0.2938,0.655,0.3271,0.1782,0.626,0.7254,0.5978,0.687,0.3214,0.4226,0.000,0.0000,1.0000,0.000,0.0000,1.0000
63,2.628,8,0.826,0.5361,0.1615,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.684,0.7059,0.2987,0.631,0.3319,0.1817,0.629,0.7251,0.5998,0.639,0.3231,0.4216,0.000,0.0000,1.0000,0.000,0.0000,1.0000
64,2.669,8,0.801,0.5396,0.1599,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.677,0.7053,0.3037,0.581,0.3339,0.1886,0.613,0.7252,0.6035,0.648,0.3242,0.4235,0.000,0.0000,1.0000,0.000,0.0000,1.0000
65,2.711,8,0.828,0.5423,0.1584,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.623,0.7046,0.3083,0.620,0.3362,0.1938,0.633,0.7252,0.6059,0.629,0.3253,0.4234,0.000,0.0000,1.0000,0.000,0.0000,1.0000
66,2.753,8,0.871,0.5438,0.1605,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.675,0.7049,0.3090,0.619,0.3382,0.2043,0.661,0.7249,0.6091,0.688,0.3258,0.4260,0.000,0.0000,1.0000,0.000,0.0000,1.0000
67,2.794,8,0.813,0.5498,0.1624,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.681,0.7052,0.3132,0.620,0.3386,0.2060,0.667,0.7254,0.6112,0.698,0.3269,0.4256,0.000,0.0000,1.0000,0.000,0.0000,1.0000
68,2.836,8,0.772,0.5512,0.1642,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.658,0.7050,0.3154,0.611,0.3386,0.2129,0.646,0.7256,0.6130,0.716,0.3280,0.4279,0.000,0.0000,1.0000,0.000,0.0000,1.0000
69,2.878,8,0.744,0.5525,0.1673,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.707,0.7057,0.3221,0.605,0.3404,0.2108,0.650,0.7259,0.6175,0.754,0.3289,0.4326,0.000,0.0000,1.0000,0.000,0.0000,1.0000
70,2.920,8,0.853,0.5550,0.1763,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.724,0.7064,0.3244,0.655,0.3409,0.2080,0.656,0.7257,0.6198,0.766,0.3302,0.4326,0.000,0.0000,1.0000,0.000,0.0000,1.0000
